Time,Variable,AssetId,Value
2019-11-25 11:58:50.6480000,power,abc123xyz,-423.7250061
2019-11-25 11:58:52.7320000,power,abc123xyz,-428.5400085
2019-11-25 11:58:54.8270000,power,abc123xyz,-440.8909912
2019-11-25 11:58:56.2920000,power,abc123xyz,-437.9039916
2019-11-25 11:58:58.7350000,power,abc123xyz,-435.9869995
2019-11-25 11:59:00.4980000,power,abc123xyz,-427.4700012
2019-11-25 11:59:03.5550000,power,abc123xyz,-426.3110046
2019-11-25 11:59:07.5020000,power,abc123xyz,-424.5719909
2019-11-25 11:59:09.1500000,power,abc123xyz,-436.0759887
2019-11-25 12:52:54.9310000,power,abc123xyz,-412.4890136
2019-11-25 12:52:56.3340000,power,abc123xyz,-418.2399902
2019-11-25 12:52:57.5070000,power,abc123xyz,-419.8900146
2019-11-25 12:53:02.9450000,power,abc123xyz,-422.2980041
2019-11-25 12:53:05.9030000,power,abc123xyz,-427.0690002
2019-11-25 12:53:06.9380000,power,abc123xyz,-422.4320068
2019-11-25 12:53:12.0400000,power,abc123xyz,-426.1329956
2019-11-25 12:53:13.1580000,power,abc123xyz,-423.4129943
2019-11-25 12:53:18.4690000,power,abc123xyz,-420.0690002
2019-11-25 12:53:20.7630000,power,abc123xyz,-422.2090148
2019-11-25 12:53:22.2560000,power,abc123xyz,-420.6929931
2019-11-25 12:53:23.3710000,power,abc123xyz,-422.6099853
2019-11-25 12:53:25.8580000,power,abc123xyz,-421.4949951
2019-11-25 12:53:31.5870000,power,abc123xyz,-425.1069946
2019-11-25 12:53:33.3710000,power,abc123xyz,-422.2529907
2019-11-25 12:53:39.7550000,power,abc123xyz,-425.3299865
2019-11-25 12:53:41.0250000,power,abc123xyz,-423.144989
2019-11-25 12:53:42.2840000,power,abc123xyz,-425.6870117
2019-11-25 12:53:43.6090000,power,abc123xyz,-422.2529907
2019-11-25 12:53:46.1460000,power,abc123xyz,-423.4570007
2019-11-25 12:53:47.5560000,power,abc123xyz,-421.9410095
2019-11-25 12:53:49.6550000,power,abc123xyz,-423.3240051
2019-11-25 12:53:50.9570000,power,abc123xyz,-422.2090148
2019-11-25 12:54:06.5610000,power,abc123xyz,-424.4830017
2019-11-25 12:54:18.4790000,power,abc123xyz,-425.5079956
2019-11-25 12:54:19.9350000,power,abc123xyz,-428.0499877
2019-11-25 12:54:21.6500000,power,abc123xyz,-429.3880004
2019-11-25 12:54:23.4900000,power,abc123xyz,-426.7120056
2019-11-25 12:54:25.2150000,power,abc123xyz,-422.2980041
2019-11-25 12:54:28.0740000,power,abc123xyz,-418.0180053
2019-11-25 12:54:33.4610000,power,abc123xyz,-421.0939941
2019-11-25 12:55:04.7990000,power,abc123xyz,-425.7309875
2019-11-25 12:55:06.1280000,power,abc123xyz,-424.2600097
2019-11-25 12:55:20.0450000,power,abc123xyz,-420.1130065
2019-11-25 12:55:21.5930000,power,abc123xyz,-417.348999
2019-11-25 12:55:26.7720000,power,abc123xyz,-418.7760009
2019-11-25 12:55:27.9510000,power,abc123xyz,-415.9660034
2019-11-25 12:55:31.2670000,power,abc123xyz,-414.4949951
2019-11-25 12:55:32.6400000,power,abc123xyz,-417.2600097
2019-11-25 13:05:26.9610000,power,abc123xyz,-436.8340148
2019-11-25 13:05:28.3300000,power,abc123xyz,-438.7959899
2019-11-25 13:05:36.1780000,power,abc123xyz,-446.1080017
2019-11-25 13:05:37.3030000,power,abc123xyz,-448.20401
2019-11-25 13:05:38.6770000,power,abc123xyz,-450
2019-11-25 13:05:47.0260000,power,abc123xyz,-448.4719848
2019-11-25 13:05:48.2990000,power,abc123xyz,-443.9240112
2019-11-25 13:05:53.1000000,power,abc123xyz,-446.4649963
2019-11-25 13:05:54.5730000,power,abc123xyz,-441.5159912
2019-11-25 13:05:55.6420000,power,abc123xyz,-440.4010009
2019-11-25 13:06:01.0060000,power,abc123xyz,-439.1080017
2019-11-25 13:06:02.2360000,power,abc123xyz,-440.3559875
2019-11-25 13:06:11.6840000,power,abc123xyz,-441.6050109
2019-11-25 13:06:13.2440000,power,abc123xyz,-440.4460144
2019-11-25 13:06:14.9670000,power,abc123xyz,-442.0509948
2019-11-25 13:06:16.9260000,power,abc123xyz,-446.3309936
2019-11-25 13:06:18.1130000,power,abc123xyz,-449.1400146
